V1,V2,V3,V4,V5,consent,intro,Q31,Q27,filler_01,temp_01,conf_01,res_01,filler_02,temp_02,conf_02,res_02,filler_03,temp_03,conf_03,res_03,filler_04,temp_04,conf_04,res_04,Q25,deb_02,deb_03_1,deb_03_2,deb_03_3,deb_03_4,deb_03_5,deb_03_6,deb_03_7,deb_03_8,deb_01,deb_04,deb_05,deb_06,deb_07,Q35,Q38,Q37
R_cwHUL1vSza2WkKN,Default Response Set,2016-05-02 14:52:51,2016-05-02 15:55:20,1,1,1,1,1,1,1,4,"2,712.08 686.68 / 2,618.12 671.21 / 3,438.00 761.62 / 3,392.00 693.82",1,1,2,"1,632,040.00 1,377,067.18 / 1,588,060.00 1,361,712.11 / 2,300,000.00 1,168,332.15 / 2,030,000.00 1,291,478.48",1,1,2,"13,560.00 9,055.75 / 14,240.00 8,968.83 / 23,680.00 10,383.16 / 22,320.00 9,616.48",1,1,2,"2,983.20 5,758.46 / 2,576.80 4,786.45 / 18,464.00 12,563.63 / 19,303.32 11,962.96",1,8,1,,,,,,1,,2,2,1,1,"I constructed a dataset where I produced likely answers for each participant.  In general, I made answers for the first 10 participants and then copied them to the other 40 (per condition) and adjusted a few for less frequent answers (like extreme high or low guesses).  I made more reasonable answers for questions that I thought more people might know (e.g., for distance from SF to NY, I presumed that more people might produce reasonable estimates; but for babies born, I figured most people would have no idea). I also figured that most people would guess in whole numbers, so my answers were generally in whole round numbers. ",1,1,1
R_9Y7KGqligpewEgR,Default Response Set,2016-04-25 16:00:53,2016-04-25 16:03:43,0,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_42ArYOzx25BPDMx,Default Response Set,2016-04-25 14:53:41,2016-04-25 16:18:56,0,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
R_9FGoRlACrb5yp1P,Default Response Set,2016-04-25 17:43:28,2016-04-25 17:45:24,0,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
R_cI6hzlPVz3AMcvz,Default Response Set,2016-04-25 18:26:28,2016-04-25 18:38:17,0,1,1,1,1,,,,,1,1,2,"1,715,289.00 450,215.00 / 1,845,923.00 483,287.00 / 3,928,454.00 394,838.00 / 3,726,142.00 442,519.00 / ",1,,,,,,,,,,,,,,,,,,,,,,,,,
R_cIo2IZqX1xQRSe1,Default Response Set,2016-04-25 17:28:36,2016-04-25 18:48:21,0,1,1,1,1,1,,,,1,1,2,"2,602,000.00 407,157.32 / 2,506,000.00 565,237.78 / 2,889,000.00 798,634.25 / 2,948,000.00 809,639.84",,,,,,,,,,,,,,,,,,,,,,,,,,
R_8ukyHnXESx7sOjz,Default Response Set,2016-04-25 18:58:29,2016-04-25 18:59:08,0,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_40LVO8kdJM2P909,Default Response Set,2016-04-25 19:08:56,2016-04-25 19:10:22,0,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3dDn13bLDTS8Em1,Default Response Set,2016-05-02 17:15:31,2016-05-02 19:15:11,1,1,1,1,1,1,1,4,"2,208.60 698.05 / 2,293.00 709.19 / 3,287.36 653.42 / 3,330.24 710.97 / ",1,1,2,"1,522,040.00 829,790.50 / 1,669,228.00 1,017,825.00 / 3,082,600.00 1,162,223.00 / 3,191,568.00 1,026,093.00 / ",1,1,2,"24,543.08 7,540.60 / 23,603.12 7,359.37 / 30,931.64 7,783.78 / 30,530.16 6,803.94 / ",1,1,2,"8,373.60 5,007.52 / 7,959.96 5,055.92 / 20,958.00 9,740.35 / 19,832.80 10,213.23 / ",1,7,1,1,,,,,,,2,2,1,1,"I used the same procedure for each study. Based on my intuition about how individuals might answer the questions given the anchoring question, I generated what I considered a reasonable distribution of responses. I assumed that a fraction of participants may be strongly swayed by the anchor, while the median response would still tend to center around the true (accurrate mean).  I haven't studied anchoring, but my guess is that the anchoring effect may skew distributions toward the anchor number, so I tried to fabricate distributions that approximated this effect.    ",1,1,1
R_egIbZHSJ6qv9aIZ,Default Response Set,2016-04-25 20:39:14,2016-04-25 20:40:18,0,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_3dxXMbyG8V6zbpj,Default Response Set,2016-04-25 20:58:24,2016-04-25 20:59:42,0,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_ePBRkH3qhhmZczP,Default Response Set,2016-05-02 21:54:15,2016-05-02 23:34:56,1,1,1,1,1,1,1,4,"2,806.44 438.73 / 2,921.52 468.80 / 3,199.60 751.26 / 3,379.52 656.33 / ",1,1,2,"2,440,802.32 961,381.60 / 2,267,841.60 1,068,848.24 / 2,869,701.24 554,472.67 / 2,716,291.60 718,448.66 / ",1,1,2,"23,909.52 9,097.74 / 26,626.56 8,546.49 / 31,299.64 4,812.53 / 31,415.48 5,417.54 / ",1,1,2,"7,679.48 3,762.16 / 8,191.48 4,140.71 / 13,558.84 10,240.82 / 11,919.72 9,873.14 / ",1,7,,,,,,,,1,2,2,1,1,"Typed answers based on vaguely plausible distribution, mixed it up a bit between sets",1,1,1
R_3JEilrqcgWYTOkd,Default Response Set,2016-05-03 03:53:35,2016-05-03 04:11:13,1,1,1,1,1,1,1,4,"Anchoring study - distance from San Francisco to New York     /      / Expectations  Current result  Supported / Main effect of condition  F(1, 96) = 333333333.33, p < .001  ✓ / No main effect of gender  F(1, 96) = 3333333.33, p < .001   / No interaction effect of gender * condition  F(1, 96) = 13333333.33, p < .001   /      /    Mean (true distance: 2,906.5 miles) Standard Deviation / Low anchor The distance from San Francisco to New York City is longer than 1,500 miles. How far do you think it is? Female 1,600.00 0.40 /   Male 1,700.00 0.30 / High anchor The distance from San Francisco to New York City is shorter than 6,000 miles. How far do you think it is? Female 2,800.00 0.10 /   Male 2,500.00 0.20 / ",1,1,2,"Anchoring study - population of Chicago     /      / Expectations  Current result  Supported / Main effect of condition  F(1, 96) = 366666666666667, p < .001  ✓ / No main effect of gender  F(1, 96) = 48484848484848.5, p < .001   / No interaction effect of gender * condition  F(1, 96) = 3030303030303.03, p < .001   /      /    Mean (true pop.: 2,719,000 people) Standard Deviation / Low anchor The population of Chicago is more than 200,000. What do you think the population of Chicago is? Female 1,500,000.00 0.40 /   Male 1,800,000.00 0.30 / High anchor The population of Chicago is less than 5,000,000. What do you think the population of Chicago is? Female 2,500,000.00 0.20 /   Male 3,000,000.00 0.20 / ",1,1,2,"Expectations  Current result  Supported / Main effect of condition  F(1, 96) = 947540983.61, p < .001  ✓ / No main effect of gender  F(1, 96) = 29508196.72, p < .001   / No interaction effect of gender * condition  F(1, 96) = 3278688.52, p < .001   /      /    Mean (true height: 29,029 feet) Standard Deviation / Low anchor Mount Everest is taller than 2,000 feet. How tall do you think Mount Everest is? Female 10,000.00 3.00 /   Male 14,000.00 2.50 / High anchor Mount Everest is shorter than 45,500 feet. How tall do you think Mount Everest is? Female 28,000.00 3.00 /   Male 30,000.00 2.50 / ",1,1,2,"Expectations  Current result  Supported / Main effect of condition  F(1, 96) = 1932075.47, p < .001  ✓ / No main effect of gender  F(1, 96) = 271698.11, p < .001   / No interaction effect of gender * condition  F(1, 96) = 120754.72, p < .001   /      /    Mean (true amount: 10,957 babies) Standard Deviation / Low anchor More than 100 babies are born per day in the United States. How many babies do you think are born in the U.S. each day? Female 9,000.00 5.50 /   Male 8,800.00 6.00 / High anchor Less than 50,000 babies are born per day in the United States. How many babies do you think are born in the U.S. each day? Female 11,000.00 5.50 /   Male 10,000.00 6.00 / ",1,5,1,,,,,,,,2,2,2,3,It was randomly done to see if at least one hypothesis could be supported.,1,1,1
R_b419ele4ZffkBpz,Default Response Set,2016-04-26 06:44:50,2016-04-26 06:45:38,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_b15VgWRi3OO8GTr,Default Response Set,2016-04-26 10:29:01,2016-04-26 11:17:52,0,1,1,1,1,1,1,4,"2.550,00 230,00 / 2.788,00 232,00 / 3.580,00 452,00 / 3.594,00 375,00",1,1,2,"1.300.870,00 223.006,00 / 1.147.000,00 303.021,00 / 4.048.005,00 743.948,00 / 3.778.005,00 844.948,00 / ",1,1,2,"3.655,00 405,00 / 4.060,00 462,00 / 34.084,00 8.078,00 / 30.403,00 6.571,00 / ",1,1,2,"35.200,00 8.202,00 / 34.900,00 7.202,00 / 42.068,00 8.050,00 / 47.850,00 7.630,00",1,5,1,,,,,,,,2,2,2,4,"I just filled in random numbers that came to mind. I realize though that some of the standard deviations might be impossible given the means (or vice versa). It is probably easy to detect, but somehow I couldn't motivate myself to go the extra mile and actually produce full fake datasets and then calculate the means and standard deviations. Also I thought that N was 25 and not 100 (as stated above). /  /  I used the same procedure for each study. It was kind of hard to do, because in most cases on the first try there was also a main effect of gender and/or a interaction effect. The data would probably look more real if some of the of the studies did include such (anomalous) effects.",1,,
R_0wuKVwBKaQubVBj,Default Response Set,2016-04-26 12:22:21,2016-04-26 12:23:47,0,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
R_79WCtOGgCh1Pgi1,Default Response Set,2016-04-26 14:11:24,2016-04-26 14:13:10,0,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_eyq5CMLnLagHMFv,Default Response Set,2016-04-25 18:56:10,2016-04-26 16:59:39,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0uluna5FaEUzLX7,Default Response Set,2016-05-03 16:40:11,2016-05-03 17:08:54,1,1,1,1,1,1,1,4,"2,409.33 108.11 / 2,458.15 120.31 / 2,913.55 142.27 / 2,869.29 153.18 / ",1,1,2,"1,402,362.34 14,905.54 / 1,398,644.55 15,966.08 / 3,297,849.62 16,082.12 / 3,301,038.95 17,116.48 / ",1,1,2,"12,622.45 1,208.98 / 13,361.06 1,290.11 / 17,065.21 1,176.51 / 16,859.60 1,211.62 / ",1,1,2,"6,449.80 970.23 / 6,316.17 901.21 / 12,646.78 1,106.28 / 13,088.36 1,264.42 / ",1,7,1,,,,,,,,2,2,2,4,Simply made it up. Maybe slightly influenced by what I believe about men and women sometimes?,1,1,1
R_3z6hazgLG9HqNF3,Default Response Set,2016-05-03 16:44:16,2016-05-03 18:08:40,1,1,1,1,1,1,1,4,"2,217.48 400.02 / 2,328.28 531.22 / 4,521.84 1,035.37 / 4,494.88 1,187.61",1,1,2,"1,073,599.96 454,852.36 / 1,062,164.44 336,514.87 / 3,537,200.00 902,734.36 / 3,566,800.00 896,964.65",1,1,2,"10,469.64 4,613.68 / 10,947.16 5,478.25 / 33,484.08 7,615.29 / 31,321.96 8,205.44",1,1,2,"686.00 479.64 / 655.60 397.63 / 30,160.00 14,416.95 / 30,990.00 11,321.64",1,8,1,,,,,,,,2,2,1,1,"I created a separate Excel sheet with columns for Gender, Anchor, and Estimate. I then entered in data for each subject centered around what I expected the estimated mean would be. I essentially ignored gender and just scaled the estimates based on the anchor condition. I did tweak a couple participants if things looked too similar between males and females. ",1,1,1
R_0qd1OJcY72VNKhn,Default Response Set,2016-04-27 03:58:30,2016-04-27 04:32:53,0,1,1,1,1,1,1,4,"3,800.79 1,870.79 / 4,062.38 1,790.97 / 4,440.83 1,473.22 / 4,958.62 1,542.73 / ",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
R_eFHTxfb09aaIYu1,Default Response Set,2016-05-05 00:45:57,2016-05-05 01:36:12,1,1,1,1,1,1,1,4,"2,702.14 1,245.27 / 2,945.66 900.15 / 3,233.45 811.37 / 3,200.00 705.10 / ",1,1,2,"1,369,500.66 180,710.31 / 1,362,310.71 120,316.44 / 4,758,252.31 242,912.62 / 4,663,087.48 207,154.37 / ",1,1,2,"7,325.61 7,140.50 / 6,002.07 8,779.22 / 30,595.71 3,761.53 / 29,906.97 2,342.79 / ",1,1,2,"13,371.57 817.21 / 11,981.77 823.63 / 24,179.51 4,846.16 / 23,558.83 3,133.82 / ",1,6,1,,,,,,1,,2,1,2,5,I used percentages and different combinations of random numbers  multiplied the by the true score then weighted each by a random factor to anchor the values closer to the prompt condition. ,1,1,1
R_3x7GgQ7uomYyk4Z,Default Response Set,2016-05-05 03:30:25,2016-05-05 04:19:00,1,1,1,1,1,1,1,4,"2,335.33 689.89 / 2,210.54 401.40 / 3,689.83 784.13 / 4,003.30 917.67",1,1,2,"1,339,315.46 349,193.75 / 1,489,834.28 481,391.04 / 3,490,375.20 5,098,390.67 / 3,750,185.68 5,928,566.74",1,1,2,"10,192.56 2,448.49 / 11,470.10 2,717.75 / 32,943.62 2,391.35 / 33,398.82 1,934.23",1,1,2,"6,884.29 1,309.85 / 5,922.23 1,789.93 / 24,020.04 8,502.28 / 27,752.82 11,098.83",1,7,1,,,,,,,,2,2,2,7,"I fabricated a subset of data for each anchor using approximately 30 cases for the first study, gradually decreasing to 10 cases for the last study. I did not create separate male vs. female answers but rather looked at the overall means and SDs to get a sense of a reasonable mean and SD based on how I believed a person may respond to each anchor. I put fabricated data in the spreadsheet and then manipulated the responses until each condition was satisfied. The interaction effect seemed to be the most difficult to satisfy with my fabricated data. ",1,1,1
R_3W5rUmXZoneMpcF,Default Response Set,2016-04-27 15:12:02,2016-04-28 18:58:15,0,1,1,1,1,1,1,4,"2,320.00 878.06 / 2,558.00 774.53 / 3,047.60 889.16 / 3,100.00 989.01 / ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9oXL1wKLgHV0wy9,Default Response Set,2016-05-05 19:54:42,2016-05-05 21:34:33,1,1,1,1,1,1,1,4,4322.36 1582.383288 / 4145.48 1699.802721 / 3488.28 988.8696788 / 3809.36 1201.355497,1,1,2,3440716.88 1642839.733 / 3590750.68 1716278.743 / 2887005.48 111669.34 / 2681646.48 1183141.056,1,1,2,20137 11337 / 20812 10549 / 26232 11058 / 28347 10043,1,1,2,"21,222.00 11,130.00 / 24,025.00 9,092.00 / 38,259.00 17,235.00 / 31,278.00 19,066.00",1,9,1,1,,1,,,,,2,1,2,4,"I used a random number generator in excel [=RANDBETWEEN(A1,B1)]. For the lower anchor, A1 was the low anchor value and B1 was a number a bit higher than the high anchor value. For the higher anchor, A1 was a number a bit higher than the low anchor and B1 was the higher anchor. I chose based on what I might think the answer to be if I were asked the question. Then, I generated the mean and standard deviation of the 25 randomly generated numbers (I did two draws for male and female with the first A1, B1 values, and two draws for male and female with the second A1, B1). ",1,1,1
R_5gX9gg6o9wan8hf,Default Response Set,2016-05-02 15:50:41,2016-05-06 04:32:09,1,1,1,1,1,1,1,4,"3,012.00 543.00 / 3,103.00 599.00 / 4,025.00 678.00 / 3,890.00 765.00 / ",1,1,2,"3,201,323.00 320,765.00 / 3,012,384.00 327,497.00 / 3,576,393.00 310,473.00 / 3,635,289.00 320,372.00 / ",1,1,2,"12,367.00 3,298.00 / 14,749.00 3,198.00 / 36,527.00 3,739.00 / 36,190.00 4,023.00 / ",1,1,2,"50,272.00 14,753.00 / 48,261.00 13,789.00 / 40,192.00 12,538.00 / 47,292.00 14,063.00 / ",1,10,1,,1,1,,,,,2,2,2,3,"Guessed at the answers myself, thought about what an appropriate standard deviation might be, adjusted my guesses upward or downward depending on the anchor as I guess the anchor might affect respondents",1,1,1
R_cI3HJGEveMkJvJX,Default Response Set,2016-05-06 04:28:48,2016-05-06 06:22:17,1,1,1,1,1,1,1,4,"2,483.29 627.38 / 2,146.27 596.20 / 4,958.26 820.43 / 4,529.93 872.39",1,1,2,"1,284,719.22 372,239.88 / 1,429,482.74 413,748.72 / 3,322,032.72 962,819.71 / 3,122,483.80 827,921.71",1,1,2,"23,391.99 5,183.84 / 25,462.37 6,012.31 / 40,284.38 5,684.14 / 38,403.81 5,749.73",1,1,2,"1,449.00 254.92 / 1,827.00 729.27 / 30,292.00 5,985.28 / 28,284.00 6,274.26",1,8,1,1,,,,,,,2,2,2,3,1. imagining the pattern of data based on the given information / 2. produce numbers fitting to the general pattern / 3. examining the calculated statistics / 4. examining the logic of data and the randomness of numbers I gave / (I made a mistake in the population scenario by filling only integers as means but the survey does not allow me to go back and correct it),1,1,1
R_3q1OkcSjG1fEFtX,Default Response Set,2016-04-25 14:41:06,2016-05-02 15:39:07,0,1,1,1,1,1,1,4,"2,000.00 300.00 / 2,100.00 250.00 / 5,000.00 500.00 / 5,100.00 400.00 / ",1,1,2,"300,000.00 100,000.00 / 500,000.00 50,000.00 / 4,000,000.00 1,100,000.00 / 4,000,000.00 1,100,000.00 / ",1,1,2,24.00 5.01 / 23.00 4.30 / 40.00 3.90 / 39.00 4.60 / ,1,1,2,"500.00 300.00 / 1,000.00 300.00 / 40,000.00 1,000.00 / 39,000.00 5,500.00 / ",1,4,,,,,1,,,,2,2,2,3,"Try and Error. / Just knowing that there is no effect of gender on data, so male and female should answer fairly similar. / Also, their pattern of answers should not be similar, for high and low anchors. / Also, we should see the effect of anchor on the average values.",1,,
R_03tLr8zhsi0c3mR,Default Response Set,2016-05-05 07:05:31,2016-05-06 06:45:01,0,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9X1XFspxrwM5tRj,Default Response Set,2016-05-02 12:03:31,2016-05-02 12:05:57,0,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_doMF6d4tTM0izKl,Default Response Set,2016-05-02 16:19:18,2016-05-02 16:20:47,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_e3rcZFHI6A288Tz,Default Response Set,2016-05-02 12:28:15,2016-05-02 12:28:43,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1zfPgRnIFCBxJkx,Default Response Set,2016-05-02 12:00:12,2016-05-02 12:01:22,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8kb0jsFwyeuni5f,Default Response Set,2016-05-02 16:11:39,2016-05-03 22:38:45,0,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_eyOvN1iGR7qri8l,Default Response Set,2016-04-25 14:49:47,2016-05-01 17:43:44,0,1,1,1,1,,,,,,,,,1,,,,1,1,2,979.60 588.71 / 1 216.24 511.44 / 42 223.90 22 915.36 / 45 622.20 26 694.02,,,,,,,,,,,,,,,,,,
R_5znikXxk3zOq92B,Default Response Set,2016-05-04 00:48:43,2016-05-04 00:49:33,0,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
R_2rtFmPGyLdAXMWx,Default Response Set,2016-05-02 19:00:50,2016-05-02 19:20:08,0,1,1,1,1,1,1,4,"3,000.00 250.00 / 2,950.00 250.00 / 3,200.00 270.00 / 3,150.00 250.00 / ",1,1,2,"2,600,000.00 150,000.00 / 2,650,000.00 150,000.00 / 3,500,000.00 100,000.00 / 3,500,000.00 100,000.00 / ",1,1,2,"29,000.00 1,000.00 / 29,000.00 1,000.00 / 29,000.00 1,000.00 / 29,000.00 1,000.00 / ",1,,,,,,,,,,,,,,,,,,,,,
R_9mkA1jqrPIKF3p3,Default Response Set,2016-05-02 12:57:37,2016-05-02 15:14:13,0,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_39GOWKH0yGoURM1,Default Response Set,2016-04-25 16:50:04,2016-05-02 16:26:57,0,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
